 0,08 ; 0,13 ;;;;;;;;;;;;;
 0,10 ; 0,11 ;;;;;;;;;;;;;
 0,17 ; 0,20 ;;;;;;;;;;;;;
 0,04 ; 0,18 ;;;;;;;;;;;;;
 0,07 ; 0,18 ;;;;;;;;;;;;;
 0,39 ; 0,61 ;;;;;;;;;;;;;
 0,10 ; 0,63 ;;;;;;;;;;;;;
 0,12 ; 0,17 ;;;;;;;;;;;;;
 0,10 ; 0,11 ;;;;;;;;;;;;;
 0,06 ; 0,23 ;;;;;;;;;;;;;
 0,03 ; 0,18 ;;;;;;;;;;;;;
 0,42 ; 0,42 ;;;;;;;;;;;;;
